question_category,number,question_type,question,answer,law_or_source,article_or_section,election
ElectionGeneral,149,Open-ended,တိုင်းရင်းသား ရေးရာဝန်ကြီး ရွေးကောက်ပွဲအတွက် မဲဆန္ဒနယ်က ဘာတွေလဲ။,မဲဆန္ဒနယ်က ပြည်နယ် (သို့မဟုတ်) တိုင်းဒေသကြီး တခုနဲ့ တူညီပါတယ်။,,,2015GeneralElection
Civic Education,151,Open-ended,ပြည်ထောင်စုဝန်ကြီးများအား မည်သို့ရွေးချယ်သလဲ။,နိုင်ငံတော်သမ္မတမှ ရွေးချယ်ပြီး ပြည်ထောင်စုလွှတ်တော်၏ သဘောတူညီချက်ကို ရယူရပါမည်။ ကာကွယ်ရေး၊ ပြည်ထဲရေးနှင့် နယ်စပ်ရေးရာဝန်ကြီးဌာနများအတွက် တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်ထံမှ သင့်လျော်သည့် တပ်မတော်သားအမည်စာရင်းကို ရယူကာ  ပြည်ထောင်စုလွှတ်တော်၏ သဘောတူညီချက်ကို ရယူရပါမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၅)၊ ပုဒ်မ ၂၃၂,2015GeneralElection
Civic Education,152,Open-ended,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်အား မည်သို့ရွေးချယ်သလဲ,နိုင်ငံတော်သမ္မတမှ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ် လွှတ်တော်မှ ရွေးချယ်ထားသည့် လွှတ်တော်ကိုယ်စားလှယ်အား သက်ဆိုင်ရာ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်ခန့်အပ်တာဝန်ပေးရန် သက်ဆိုင်ရာ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်မှ အတည်ပြုရမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၂၆၁,2015GeneralElection
Civic Education,154,Open-ended,မြန်မာနိုင်ငံတွင် မြို့နယ်ဘယ်နှခုရှိသလဲ,ပြည်သူ့လွှတ်တော်အား ရွေးချယ်တင်မြှောက်ရန်အတွက် မြို့နယ်ပေါင်း ၃၃၀မှ ရွေးချယ်ခဲ့ရာ မြို့နယ်ပေါင်း ၃၃၀ုမြန်မာနိုင်ငံတွင်ရှိပါသည်။,,,2015GeneralElection
HowtoVote,155,,မဲပေးနေစဉ် ပါတီတံဆိပ်ပါ တီရှပ်၊ ရင်ထိုး၊ ဦးထုပ်များယူဆောင်ဝတ်ဆောင်လို့ရပါသလား။,မရပါ။,,,2015GeneralElection
HowtoVote,156,Yes/No,မဲပြားတွင်မဲပေးရန်အတွက် ဘောပင်ယူဆောင်ရပါမည်လား။,မရပါ။ မဲပြားပေါ်တွင် တရားဝင် ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်မှ တံဆိပ်ရိုက်နှိပ်ပြီးသားဖြစ်ပါသည်။,,,2015GeneralElection
Civic Education,158,Open-ended,နိုင်ငံတော် အကြီးအကဲမှာဘယ်သူလဲ။,နိုင်ငံတော် သမ္မတဖြစ်ပါတယ်,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၅၈,2015GeneralElection
Civic Education,159,Open-ended,ဥပဒေပြုရန်အတွက်မည်သူတွင် အာဏာရရှိသနည်း။,လွှတ်တော်တွင် ဥပဒေပြုရန်အတွက် ပဏာမအာဏာရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၉၆ နှင့် ပုဒ်မ ၁၈၈,2015GeneralElection
Civic Education,160,Open-ended,လွှတ်တော် ဘယ်နှစ်ရပ်ရှိသလဲ။,ပြည်ထောင်စုအဆင့်တွင် လွှတ်တော် ၃ ရပ်ရှိပါသည်။ အမျိုးသားလွှတ်တော်နှင့် ပြည်သူ့လွှတ်တော်၊ ထိုလွှတ်တော်နှစ်ရပ်ပေါင်းကာ ပြည်ထောင်စုလွှတ်တော်စသည့် လွှတ်တော် ၃ ရပ်ရှိပါသည်။ တိုင်းဒေသကြီးနှင့် ပြည်နယ်အသီးသီးတွင်လည်း လွှတ်တော်ထားရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၉၆ နှင့် ပုဒ်မ ၁၈၈,2015GeneralElection
Civic Education,161,Open-ended,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်မှ ဘယ်လိုအရည်အချင်းရှိဖို့လိုသလဲ။,အသက် သုံးဆယ့်ငါးနှစ် ပြည့်ပြီးသူ၊ အသက်ကန့်သတ်ချက်မှအပ ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်များ အတွက် သတ်မှတ်ထားသည့် အရည်အချင်းများနှင့် ပြည့်စုံသူ၊ ပြည်သူ့လွှတ်တော် ကိုယ်စားလှယ်များအဖြစ် ရွေးကောက်တင်မြှောက်ခံပိုင်ခွင့် မရှိစေသော ပြဌာန်းချက်များနှင့်လည်း ငြိစွန်းခြင်း မရှိသူ၊,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၂၆၁,2015GeneralElection
VoterList,162,,ရွေးကောက်ပွဲနေ့တွင် မိမိအမည် မဲဆန္ဒရှင်စာရင်းတွင် မပါဝင်ပါက မည်သို့လုပ်ဆောင်ရပါမည်နည်း။,မဲစာရင်းတွင် မိမိအမည် ပါဝင်မှု သေချာစေရန် ရွေးကောက်ပွဲရက် မတိုင်မီ တတ်နိုင်သမျှစောစော ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲရုံးတွင် သက်ဆိုင်ရာ ပုံစံများကိုဖြည့်စွတ်ပါ။ ရွေးကောက်ပွဲနေ့တွင် မိမိအမည် မဲဆန္ဒရှင်စာရင်းတွင် မပါဝင်ပါက၊ ဆန္ဒမဲပေးခွင့်ရမည် မဟုတ်ပါ။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,,2015GeneralElection
ElectionGeneral,163,,ရွေးကောက်ပွဲနေ့က ဘယ်နေ့လဲ။,၂၀၁၅၊ နိုဝင်ဘာ ၈ (တနင်္ဂနွေနေ့),ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် အသိပေးချက်ထုတ်ပြန်ကြေငြာခြင်း,,2015GeneralElection
Civic Education,164,Open-ended,အမျိုးသားလွှတ်တော်နှင့် ပြည်သူ့လွှတ်တော်အကြား ကွဲပြားမှုကဘာလဲ,အမျိုးသားလွှတ်တော်ဆိုသည်မှာ တိုင်းဒေသကြီးနှင့် ပြည်နယ်ကိုအခြေခံကာ နယ်မြေ ၁၂နယ်ကိုကိုယ်စားပြုရပါသည်။ ပြည်သူ့လွှတ်တော်ဆိုသည်မှာ မြို့နယ်ကိုအခြေခံကာ ကိုယ်စားပြုရပါသည်။ ၎င်းတို့နှစ်ရပ်အား ပြည်ထောင်စုလွှတ်တော်ဟုခေါ်ပါသည်။,ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၇၄,2015GeneralElection
HowtoVote,165,Open-ended,မဲပေးပြီးနောက်တွင် ဘာကြောင့် မင်တို့ခြင်းခံရရန်လိုအပ်သလဲ,မင်တို့ခြင်းမှာ လူတစ်ဦးသည် မဲပေးပြီးနောက် နှစ်ကြိမ်မဲပေးခြင်းမှ ကာကွယ်ခြင်းဖြစ်သည်။,ပြည်သူ့လွှတ်တော်နည်းဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၄၁ (ဂ),2015GeneralElection
HowtoVote,166,Open-ended,မိမိဆန္ဒမဲပေးရန် မည်သည့်နေရာကိုသွားရမည်နည်း။,မဲဆန္ဒရှင်များ ဆန္ဒမဲပေးနိုင်ရန် သက်ဆိုင်ရာ ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ မဲရုံများသတ်မှတ်ပေးပါလိမ့်မည်။,,,2015GeneralElection
HowtoVote,167,Open-ended,မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ဆိုတာဘာလဲ။,ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ ရွေးကောက်ပွဲနေ့မတိုင်မီ တစ်ပတ်အလိုတွင် မဲဆန္ဒရှင်များအား မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ထုတ်ပေးရပါမည်။ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် မဲဆန္ဒစာရင်းမှ မဲဆန္ဒရှင်၏ သတင်းအချက်အလက်များကို ဖြည့်စွတ်ရပါမည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄,2015GeneralElection
HowtoVote,168,Open-ended,မိမိအနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် မရပါက မည်သို့ဖြစ်မည်နည်း။,မဲဆန္ဒရှင် အနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် မရရှိသော်လည်း၊ မဲဆန္ဒရှင်စာရင်းတွင် မိမိအမည်ပါရှိပါက မဲပေးခွင့်ရှိပါသည်။ အလေးအနက်အကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်အနေဖြင့် မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်သူဖြစ်ကြောင်းသက်သေပြနိုင်ရန် အခြားသောခိုင်လုံသည့်သက်သေခံပုံစံတစ်ခု ယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄၊ အခန်း ၃.၂ (၂),2015GeneralElection
HowtoVote,169,Yes/No,မဲရုံတွင် ဆန္ဒမဲပေးရန်အတွက် သက်သေခံအထောက်အထားတစ်ခုခု ယူဆောင်သွားရပါမည်လား။,မလိုအပ်ပါ။ ဥပဒေအရ မဲဆန္ဒရှင်များ အနေဖြင့် မည်သည့် သက်သေအထောက်အထားမှ ယူလာရန်မလိုအပ်ပါ။ မဲဆန္ဒရှင်စာရင်းတွင် အမည်စာရင်းပါဝင်ပါက မဲပေးခွင့်ရမည်ဖြစ်ပါသည်။ သို့သော် အလေးထားအကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်များအနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ်ကို တစ်ပါတည်းယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄၊ အခန်း ၃.၁ (၂),2015GeneralElection
HowtoVote,170,Open-ended,မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် ဘာတွေပါဝင်ပါသလဲ။,မဲဆန္ဒရှင်သက်သေခံလက်မှတ်အား ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ ပြင်ဆင်ပေးပြီး၊ မဲဆန္ဒရှင် ဆန္ဒမဲပေးရမည့် မဲရုံအမှတ်နှင့် မဲစာရင်းအမှတ်စဉ်တို့ပါဝင်ပါသည်။ ထိုအပြင် မဲဆန္ဒရှင်အမည်၊ ကျား/မ၊ မွေးသက္ကရာဇ်၊ မိဘအမည်များနှင့် နေရပ်လိပ်စာတို့လည်း ပါဝင်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄,2015GeneralElection
HowtoVote,171,Open-ended,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အချက်အလက်များ မမှန်ကန်ပါက မည်သို့လုပ်ဆောင်ရမည်နည်း။,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အချက်အလက်များ မမှန်ကန်ပါက ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲသို့ အကြောင်းကြားရပါမည်။ ရွေးကောက်ပွဲနေ့တွင်ပင် အချက်အလက်များ ဆက်လက်မှားယွင်းနေပါက၊ မဲရုံမှူးသို့ အကြောင်းကြားရပါမည်။ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အနည်းငယ်မှားယွင်းရုံဖြင့် မဲပေးခွင့် မဆုံးရှုံးနိုင်ပါ။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄ (၉),2015GeneralElection
HowtoVote,172,Open-ended,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ပျောက်ဆုံးပါက မည်သို့လုပ်ဆောင်ရမည်နည်း။,မဲဆန္ဒရှင် အနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ပျောက်ဆုံးသော်လည်း၊ မဲဆန္ဒရှင်စာရင်းတွင် မိမိအမည်ပါရှိပါက ဆန္ဒမဲပေးခွင့်ရှိပါသည်။ အလေးအနက်အကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်အနေဖြင့် မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်သူဖြစ်ကြောင်းသက်သေပြနိုင်ရန် အခြားသောခိုင်လုံသည့်သက်သေခံပုံစံတစ်ခု ယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄ (၁၁),2015GeneralElection
HowtoVote,173,Open-ended,ရွေးကောက်ပွဲနေ့တွင် မဲဆန္ဒရှင်စာရင်းတွင်ပါဝင်သော အချက်အလက်များမမှန်ကန်ပါက မည်သို့ဖြစ်မည်နည်း။,ရွေးကောက်ပွဲနေ့တွင် မိမိ၏ မဲဆန္ဒရှင်စာရင်းပါ သတင်းအချက်အလက်များမှားယွင်းနေပါက ဆန္ဒမဲပေးခွင့်မပြုမှီ မိမိအနေဖြင့် မဲဆန္ဒရှင်စာရင်းပါသူဖြစ်ကြောင်း သက်သေပြရန် လိုအပ်ပါလိမ့်မည်။ ဆန္ဒမဲပေးခွင့်ပြု/မပြုဆုံးဖြတ်ချက်သည် မဲရုံးမှူးပေါ်တွင်သာ မူတည်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၃.၁ (၂),2015GeneralElection
VoterList,174,Open-ended,ကြားဖြတ်ရွေးကောက်ပွဲကို မည်သည့်အချိန်၊ မည်သည့်နေရာတွင် ကျင်းပမည်နည်း။,"ကြားဖြတ်ရွေးကောက်ပွဲကို ၂၀၁၇ခုနှစ် ဧပြီလ (၁) ရက်နေ့တွင် မြို့နယ်ပေါင်း (၂၂) မြို့နယ်ရှိ လစ်လပ်သောနေရာ (၁၉) နေရာတွင်ကျင်းပပြုလုပ်မည်။ ဤလစ်လပ်သောနေရာ (၁၉)နေရာမှာ အမျိုးသားလွှတ်တော်မှ (၃)နေရာ၊ ပြည်သူ့လွှတ်တော်မှ (၉)နေရာ နှင့် တိုင်း/ပြည်နယ် လွှတ်တော်မှ (၇)နေရာတို့ ပါဝင်ပြီး မဲပေးသူဦးရေပေါင်း ပျမ်းမျှအားဖြင့် (၂.၃)သန်း အထိရှိမည်ဟု ခန့်မှန်း ထားပါသည်။  

လစ်လပ်သောနေရာ (၁၉) နေရာ ဖြစ်ပေါ်လာရခြင်း အကြောင်းအရင်းများမှာ ၂၀၁၅ ရွေးကောက်ပွဲအတွင်း ရွေးကောက်ခံအမတ်များသည် ပြည်ထောင်စုဝန်ကြီး အဖြစ်ခန့်အပ် ခံရခြင်း၊ ကွယ်လွန်သွားခြင်း တို့ကြောင့်ဖြစ်ပြီး ရှမ်းပြည်နယ်ရှိ မိုင်းရှုးနှင့် ကျေးသီး နှစ်မြို့နယ်မှာ ၂၀၁၅ ရွေးကောက်ပွဲအတွင်း လုံခြုံရေးအခြေအနေအရ ရွေးကောက်ပွဲ မကျင်းပနိုင်ခဲ့သောကြောင့် ဖြစ်သည်။ 
",,,2017ByElection
VoterList,175,Open-ended,ကြားဖြတ်ရွေးကောက်ပွဲအတွက် ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်မှ မဲဆန္ဒရှင်စာရင်း များကို မည်ကဲ့သို့ ပြုစုမည်နည်း။ ,ကြားဖြတ် ရွေးကောက်ပွဲတွင် အသုံးပြုမည့် မဲဆန္ဒရှင်စာရင်းမှာ ၂၀၁၅ ရွေးကောက်ပွဲတွင် အသုံးပြုခဲ့သော မဲဆန္ဒရှင်စာရင်းကို အခြေခံထားခြင်းဖြစ်ပြီး ရွေးကောက်ပွဲကျင်းပမည့် မဲဆန္ဒနယ်အသီးသီးတွင် ရွေးကောက်ပွဲကော်မရှင်အဖွဲ့ခွဲများမှ တစ်အိမ်တက် တစ်အိမ်ဆင်း စနစ်ဖြင့် မဲဆန္ဒရှင်စာရင်းများ ထပ်မံစိစစ် ဖြည့်သွင်းလျက်ရှိပါသည်။ ကြားဖြတ်ရွေးကောက်ပွဲ ကျင်းပမည့်နေ့ ၂၀၁၇ခုနှစ် ဧပြီလ(၁)ရက်နေ့တွင် အသက်(၁၈)နှစ် ပြည့်မည့်သူများသည်လည်း မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်မည်ဖြစ်သည်။ မဲဆန္ဒရှင်စာရင်းပြုစုရာတွင် အသုံးပြုသည့် အချက်အလက်များသည် ရပ်/ကျေး အထွေထွေအုပ်ချုပ် ရေးဦးစီးဌာန မှတ်တမ်းစာအုပ်မှ ဖြစ်သည်။ လိုအပ်ပါကလည်း အထွေထွေအုပ်ချုပ်ရေးမှူးရုံးမှတစ်ဆင့် အလုပ်သမား၊ လူဝင်မှု ကြီးကြပ်ရေးနှင့် ပြည်သူ့အင်အားဝန်ကြီးဌာနရှိ အိမ်ထောင်စုစာရင်းများ (ပုံစံ ၆၆/၆)တွင် ပါဝင်သော အချက်အလက်များနှင့်လည်း တိုက်ဆိုင်စီစစ် သွားမည်ဖြစ်သည်။ ,,,2017ByElection
VoterList,176,Yes/No,မဲဆန္ဒရှင်စာရင်းများတွင်အမှားများပါရှိနိုင်ပါသလား။,ယခုလာမည့် ကြားဖြတ်ရွေးကောက်ပွဲတွင် အသုံးပြုမည့် မဲဆန္ဒရှင်စာရင်းမှာ ၂၀၁၅ ရွေးကောက်ပွဲကြီးတွင် အသုံးပြုခဲ့သော မဲဆန္ဒရှင်စာရင်းဖြစ်ပြီး၊ ထိုမဲဆန္ဒရှင်စာရင်းကို နှစ်ကြိမ် တိုင်တိုင် ကပ်ထားကြေညာခဲ့ပြီး အမှားပြင်ဆင်ချက် (၈)သန်းကျော်ကို ပြန်လည် ဖြည့်စွက် ပြုစု ထားခြင်းဖြစ်ပါသည်။ ကြားဖြတ်ရွေးကောက်ပွဲကို ကြိုတင် ပြင်ဆင်သည့် အနေဖြင့် ပြည်ထောင်စု ရွေးကောက်ပွဲကော်မရှင်မှ တစ်အိမ်တက်ဆင်း ကောက်ယူသော စနစ်ကို အသုံးပြုပြီး၊ မဲဆန္ဒရှင် စာရင်းများကို ကပ်ထားကြေညာသည့် ကာလတွင်လည်း မဲစာရင်းများကို အလွယ်တကူ ပြန်လည် ပြုပြင်ဖြည့်စွက်နိုင်ရန် ပြင်ဆင်ထားရှိသွားမည် ဖြစ်သည်။ မဲဆန္ဒရှင်များမှလည်း မဲဆန္ဒရှင် စာရင်းတွင် အမည်များထပ်တိုးခြင်း၊ ပယ်ဖျက်ခြင်း နှင့်ပြင်ဆင်ခြင်းများကို ပြုလုပ်နိုင်သော အခွင့်အရေးများ ရရှိမည်ဖြစ်သည်။ ပြီးခဲ့သည့် ရွေးကောက်ပွဲကြီးကဲ့သို့ “Check-Your-Name” ဝက်ဆိုဒ်ကိုလည်း ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်၏ အွန်လိုင်းတွင် လွှွင့်တင်ပေးထားမည် ဖြစ်သည်။,,,2017ByElection
VoterList,178,Open-ended,မိမိ၏အမည်သည် မဲဆန္ဒရှင်စာရင်းတွင် မပါရှိပါက မည်ကဲ့သို့ ထည့်သွင်းနိုင်သနည်း။,သင်သည် အမြဲတမ်းနေထိုင်သူတစ်ယောက်ဖြစ်ပြီး သင်၏အမည်ကို မဲဆန္ဒရှင်စာရင်းတွင် မတွေ့ရှိပါက ရပ်/ကျေးကော်မရှင်ခွဲရုံးသိုု့  ပုံစံ (၃) ဖြင့်လျှောက်ထားနိုင်သည်။,,,2017ByElection
VoterList,179,Open-ended,မိမိ၏ အမည်နှင့် အချက်အလက်များ မှားနေလျင် မည်ကဲ့သို့ ပြင်ဆင်နိုင်သနည်း။,သင်၏အမည်သည် မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်သော်လည်း မွေးရက်၊ အမည်စာလုံးပေါင်း၊ အချက်အလက်များ မှားယွင်းနေပါက ရပ်/ကျေးကော်မရှင်ခွဲရုံးသိုု့ ပုံစံ (၄-ဂ)ဖြင့် လျှောက်ထား နိုင်ပါသည်။,,,2017ByElection
VoterList,180,Open-ended,ဆန္ဒမဲပေးပိုင်ခွင့်မရှိသူ (သို့) ကွယ်လွန်ပြီးသူ အမည်များကို မဲဆန္ဒရှင်စာရင်းမှ ကန့်ကွက် ချင်လျင် မည်ကဲ့သိုု့ လုပ်ဆောင်ရမည်နည်း။ ,သင်သည် မဲဆန္ဒရှင်စာရင်းမှ တစ်စုံတစ်ယောက်ကို ကန့်ကွက်ချင်လျင်၊ ဥပမာ သေဆုံးပြီးသူ မဲဆန္ဒရှင်စာရင်းတွင် မပါဝင်သင့်သူတို့ကို ကန့်ကွက်ချင်လျင် ရပ်/ကျေးကော်မရှင်ခွဲရုံးသို့ ပုံစံ (၄)ဖြင့် လျှောက်ထားနိုင်သည်။,,,2017ByElection
VoterList,181,Open-ended,မဲဆန္ဒနယ် ပြောင်းရွှေ့ မဲပေးလိုပါက မည်ကဲ့သို့ ဆောင်ရွက်နိုင်သနည်း။ ,"မဲဆန္ဒရှင်သည် မဲဆန္ဒနယ်အတွင်း ဆန္ဒမဲပေးခြင်းကို နည်းလမ်းနှစ်မျိုးဖြင့် ပြောင်းရွေ့ မဲပေးနိုင်ပါသည်။ တစ်နည်းမှာ မဲဆန္ဒနယ်တွင် ယာယီနေထိုင် လျှောက်ထားခြင်းနှင့် နောက်တစ်နည်းမှာ အမြဲတမ်းရွေ့ပြောင်း လျှောက်ထားခြင်းဖြစ်သည်။ 

သင်သည် ဒေသတစ်ခုခုတွင် ယာယီနေထိုင်သူဖြစ်ပြီး၊ ရက်ပေါင်း (၁၈၀)အထက် ကျော်လွန် နေထိုင်ပြီးပါက၊ သင်၏မွေးရပ်မြေ (မဲစာရင်းပါ မဲဆန္ဒနယ်)တွင် ပြန်လည်သွားရောက်ကာ မဲပေးခြင်းထက် သင်ယခု အလုပ်လုပ်နေသော/နေထိုင်သော မဲဆန္ဒနယ်တွင် မဲပေးချင်လျင် ရပ်/ကျေး ကော်မရှင်ခွဲ ရုံးသိုု့ ပုံစံ (၃-က)ဖြင့် လျှောက်ထားနိုင်သည်။ အလုပ်ရှင်၏ ထောက်ခံစာပါ ပူးတွဲ တင်ပြရပါမည်။
အထူးသတိပြုရန်မှာ- သင်၏မူလ မဲဆန္ဒနယ်မြေရှိ လစ်လပ်လွှတ်တော်အမျိုးအစားနှင့် ပုံစံ (၃-က) ဖြင့် လျှောက်ထားမဲပေးမည့် မဲဆန္ဒနယ်ရှိ လစ်လပ်လွှတ်တော်အမျိုးအစားတို့မှာ တူညီရန် လိုအပ်သည်။
ဒုတိယနည်းမှာ သင်သည် အမြဲတမ်းနေထိုင်သူဖြစ်ပြီး၊ မဲဆန္ဒရှင်စာရင်းတွင် သင့်အမည်မပါရှိပါက ပုံစံ(၃)ဖြင့်လျှောက်ထားနိုင်သည်။ သင်၏ အမည်သည် ကြားဖြတ်ရွေးကောက်ပွဲရှိသော မဲဆန္ဒနယ် နှစ်နယ်ရှိ မဲစာရင်းနှစ်ခုတွင် တစ်ပြိုင်တည်း ပါဝင်နေပါက သင်ဆန္ဒမဲပေးလိုသည့် မဲဆန္ဒနယ်တွင် မဲပေးပိုင်ခွင့်ရှိသည်။ သို့သော် သင်မဲမပေးလိုသည့် မဲဆန္ဒနယ်ရှိ သက်ဆိုင်ရာ ရပ်/ကျေး ကော်မရှင်အဖွဲ့ခွဲရုံးသို့ သင်၏အမည်အား မဲစာရင်းမှ ပယ်ဖျက်ပေးရန် ပုံစံ(၄-က)ဖြင့် တောင်းဆိုရမည်။ ထိုရပ်/ကျေးကော်မရှင်အဖွဲ့ခွဲရုံးမှ ပုံစံ(၄-ခ)ကို ပြန်လည်တောင်းယူပြီး သင်မဲပေးလိုသည့် မဲဆန္ဒနယ်ရှိ သက်ဆိုင်ရာ ရပ်/ကျေးကော်မရှင်အဖွဲ့ခွဲရုံးတွင် သက်သေခံအဖြစ် ပူးတွဲတင်ပြ၍ တောင်းဆိုရ မည်။ 
",,,2017ByElection
VoterList,182,Open-ended,မဲဆန္ဒရှင်စာရင်းကို မည်သည့်အချိန်တွင် ကပ်ထားကြေညာမည်နည်း။,ကြားဖြတ်ရွေးကောက်ပွဲ ကျင်းပမည့် မဲဆန္ဒနယ်တိုင်းတွင် မဲဆန္ဒရှင်စာရင်းများကို ၂၀၁၇ခုနှစ် ဖေဖော်ဝါရီလ (၁) ရက်နေ့ မှ (၁၄)ရက်နေ့အထိ ကပ်ထားကြေညာသွားမည် ဖြစ်သည်။ ,,,2017ByElection
